cell_type,cell_id,condition,sub_type,nCounts,mito_pct,umap1,umap2
B cells,p3t3:bcDZXZ,tumor,tB,1878,7.3482428115016,-10.5974788851199,-0.605137027217207
B cells,p3t2:bcFPFN,tumor,tB,1756,6.83371298405467,-9.92996789879177,-1.51998708338862
B cells,p5t2:bcHBCR,tumor,tB,1311,7.32265446224256,-10.7815580553469,-0.393387592746077
B cells,p3t1:bcBRRH,tumor,tB,1328,7.9066265060241,-10.7057724184451,-0.551630772067366
B cells,p3t1:bcAUHL,tumor,tB,1185,7.25738396624473,-10.7324934191165,-0.24132970662242
B cells,p3t2:bcHMUA,tumor,tB,3359,7.0556713307532,-10.5146999544558,0.128934704350176
B cells,p3t2:bcDELB,tumor,tB,1116,8.78136200716846,-10.7729635424075,-1.24850252957469
B cells,p1t1:bcHDSV,tumor,tB,1166,9.09090909090909,-10.5965490526614,-1.07328341097957
B cells,p6t1:bcBFMP,tumor,tB,1515,9.10891089108911,-10.4214353746829,-1.13914475531703
B cells,p3t2:bcBURV,tumor,tB,1438,9.59666203059806,-10.8478641695437,-0.336800850344954
B cells,p2b1:bcHSYB,healthy,bB cells,2923,4.92644543277455,-10.1594209856448,0.600839816616716
B cells,p3t2:bcFAPT,tumor,tB,1309,9.3964858670741,-10.7668628878054,-0.736863888217268
B cells,p2t2:bcBMOA,tumor,tB,2575,4.42718446601942,-10.2826843447146,0.279214345501604
B cells,p3t2:bcBQAV,tumor,tB,2007,8.8689586447434,-10.3107357210574,-0.135975397540388
B cells,p1t2:bcIHPD,tumor,tB,2802,5.38900785153462,-10.6862402147708,-0.143895424319563
B cells,p3t3:bcCNWA,tumor,tB,1250,8.4,-9.8395157045779,-0.882788456393538
B cells,p3t3:bcESML,tumor,tB,2927,9.94192005466348,-9.93062498039577,-0.858442402793227
B cells,p3t1:bcGBUN,tumor,tB,1392,9.33908045977011,-10.9464206880984,-0.83722905011302
B cells,p3t1:bcBJDF,tumor,tB,1222,7.69230769230769,-10.0187874025759,-1.12134078831798
B cells,p3t2:bcANGI,tumor,tB,1914,9.40438871473354,-10.3277692980227,0.057720386074724
B cells,p5t2:bcBCWV,tumor,tB,1211,4.12881915772089,-10.3990373796878,-1.29331574530726
B cells,p3t3:bcHPBZ,tumor,tB,2232,8.10931899641577,-10.1964330858645,-1.06102923245555
B cells,p3t2:bcHYCY,tumor,tB,1536,7.55208333333333,-9.94854356712673,-0.72040239663249
B cells,p5t2:bcICTK,tumor,tB,1007,6.15690168818272,-9.75897314018581,-0.968139327479658
B cells,p3t2:bcBCPN,tumor,tB,2235,7.42729306487696,-10.0192384905276,-0.957736767245589
B cells,p3t2:bcFIKY,tumor,tB,1764,5.10204081632653,-10.4844274706301,-1.39148161502009
B cells,p4t1:bcCDCC,tumor,tB,1545,9.77346278317152,-9.77462484306667,-1.12989333958751
B cells,p5t2:bcGVMP,tumor,tB,1086,6.26151012891345,-10.7985496706424,-0.425285852862654
B cells,p2b1:bcFELJ,healthy,bB cells,2490,9.63855421686747,-10.2357845491824,0.558096372173967
B cells,p3t2:bcGSVW,tumor,tB,1299,6.69745958429561,-10.0668239778933,0.266362868832292
B cells,p7t2:bcGPJZ,tumor,tB,1380,7.02898550724638,-10.4975481218753,-1.61147814185744
B cells,p3t1:bcHEVP,tumor,tB,2307,9.27611616818379,-10.6405096239505,-1.39280638785487
B cells,p7t2:bcAUXK,tumor,tB,1100,8.81818181818182,-10.0593576616702,0.0882293811308763
B cells,p3t1:bcDVEI,tumor,tB,1338,7.99701046337818,-10.7092657274661,-1.63667160959369
B cells,p3t3:bcATVI,tumor,tB,2365,7.27272727272727,-10.1555357164798,-0.440998829318342
B cells,p3t2:bcCZJL,tumor,tB,2459,9.63806425376169,-10.4480791277346,-1.35631186456805
B cells,p3t1:bcHVFF,tumor,tB,2378,9.92430613961312,-10.1013908571658,-1.34672982187396
B cells,p3t2:bcCPMI,tumor,tB,1720,8.66279069767442,-10.6048011965213,-0.204982555819807
B cells,p3t1:bcFLHT,tumor,tB,1357,8.99042004421518,-10.4040527529177,-0.916948712779341
B cells,p3t2:bcGHWQ,tumor,tB,1344,8.70535714285714,-10.359996814197,-1.61838082165843
B cells,p3t2:bcCBCR,tumor,tB,1013,9.18065153010859,-10.0821609682498,-0.444121159030257
B cells,p3t2:bcBUQS,tumor,tB,1402,7.2753209700428,-10.5685377306399,-0.888265467597304
B cells,p3t2:bcHXXE,tumor,tB,1396,7.37822349570201,-10.2268562502322,-1.10144463868266
B cells,p6t1:bcDRDE,tumor,tB,1205,9.37759336099585,-10.6740389055667,-1.41770643682605
B cells,p5t2:bcERNZ,tumor,tB,1260,5.31746031746032,-10.309272784656,-1.3762920567525
B cells,p3t1:bcDVGF,tumor,tB,2019,4.80435859336305,-10.8720455355105,-1.08837268443233
B cells,p3t2:bcHDPQ,tumor,tB,1464,4.78142076502732,-10.6947202867923,-0.427955306483565
B cells,p3t1:bcDYUP,tumor,tB,1367,9.9487929773226,-9.99726678795193,-1.45979953498965
B cells,p3t1:bcGNOM,tumor,tB,1273,9.58366064414768,-10.1209821886477,-1.4138697454465
B cells,p3t3:bcDNKQ,tumor,tB,1859,9.35987089833244,-10.1170568651614,-1.40733844728595
B cells,p3t2:bcGCFG,tumor,tB,1615,7.61609907120743,-10.4722852892337,-0.393195308162031
B cells,p1t1:bcHJUK,tumor,tB,1118,5.09838998211091,-10.5576582140384,-1.2803981670869
B cells,p1t4:bcIDTK,tumor,tB,1894,7.3389651531151,-10.575141925281,-0.526238239718733
B cells,p3t2:bcEVIA,tumor,tB,1862,6.4983888292159,-10.1635837740359,-0.0632087358964064
B cells,p3t2:bcFZKW,tumor,tB,2003,7.88816774837743,-10.3814182466922,0.32078572420949
B cells,p3t2:bcEVBG,tumor,tB,1568,1.14795918367347,-10.5276203340945,-1.65457666607028
B cells,p6t2:bcDQUJ,tumor,tB,1540,8.8961038961039,-10.7733774370608,-1.42780653329021
B cells,p3t2:bcDDYN,tumor,tB,1617,6.80272108843538,-10.5455970949588,-1.20486251206523
B cells,p3t1:bcHLAU,tumor,tB,1563,8.95713371721049,-10.5815010256228,-0.7643293509019
B cells,p3t2:bcHZEO,tumor,tB,1578,7.85804816223067,-10.7552004045901,-0.558550275279341
B cells,p3t3:bcGQDG,tumor,tB,1286,7.23172628304821,-10.1797084993777,0.220038377331438
B cells,p3t3:bcFENZ,tumor,tB,2712,9.14454277286135,-10.2502241320071,-1.22988144250041
B cells,p3t2:bcFUXF,tumor,tB,1920,9.89583333333333,-10.427083987659,0.123549424694719
B cells,p3t3:bcIGIH,tumor,tB,1449,8.48861283643892,-10.5071535295901,-1.00738380046016
B cells,p3t2:bcCCUO,tumor,tB,1347,8.31477357089829,-10.0623808092532,-0.209072507335005
B cells,p3t2:bcBARO,tumor,tB,1297,8.24980724749422,-10.1014394945559,-0.55802766175395
B cells,p3t2:bcHIZL,tumor,tB,2177,9.78410656867248,-10.7086315340457,-1.55772825272208
B cells,p3t1:bcGVRR,tumor,tB,1600,8.3125,-10.8733987993655,-1.23953983874446
B cells,p3t3:bcHXZO,tumor,tB,1606,8.65504358655044,-10.9223947710452,-0.804622209979353
B cells,p3t1:bcBYCS,tumor,tB,1678,9.17759237187128,-10.1245832628665,-0.06002334447032
